Prova,Numero_Questao,Enunciado,Alternativa_A,Alternativa_B,Alternativa_C,Alternativa_D,Alternativa_Correta,Justificativa
xxxv,1,"Vitor deseja se candidatar ao Cargo de Conselheiro Seccional da OAB. Ao estudar a legislação aplicável, Vitor concluiu que poderia concorrer ao cargo em questão, ainda que",estivesse em atraso com o pagamento da anuidade.,exercesse efetivamente a profissão há menos de 3 (três) anos.,ocupasse cargo de provimento efetivo em órgão da Administração Pública indireta.,"tivesse sido condenado por infração disciplinar resultante da prática de crime há mais de um ano, mesmo sem ter obtido a reabilitação criminal.",C,"Na verdade, que não é permitido é que o candidato ocupe funções incompatíveis com a advocacia ou ocupe cargos dos quais possam ser exoneráveis, portanto, Vitor pode concorrer ao cargo mesmo se ocupar cargo de provimento efetivo em órgão da administração pública indireta."
xxxv,2,"Maria, advogada, sente falta de confiança na relação profissional que mantém com Pedro, cliente que representa em ação judicial. Maria externa essa impressão a Pedro, mas as dúvidas existentes não são dissipadas. Maria decide, então, renunciar ao mandato. Considerando essa situação hipotética, é correto afirmar que o ato de renúncia ao patrocínio","excluirá a responsabilidade de Maria por danos eventualmente causados a Pedro após dez dias da notificação, salvo se for substituída antes do término desse prazo.","obrigará Maria a depositar em juízo bens, valores e documentos que lhe hajam sido confiados e ainda estejam em seu poder.",fará cessar de imediato a responsabilidade profissional de Maria pelo acompanhamento da causa.,deverá ser feita sem menção do motivo que a determinou,D,"Em nenhuma hipótese o advogado necessita explicar as motivações da sua renúncia. Isso pode ser observado pela leitura do caput do artigo 16 do Código de Ética, que determina que não deverá ser feita nenhuma menção do motivo que determinou a renúncia.
 
Art. 16. A renúncia ao patrocínio deve ser feita sem menção do motivo que a determinou, fazendo cessar a responsabilidade profissional pelo acompanhamento da causa, uma vez decorrido o prazo previsto em lei (EAOAB, art. 5º, § 3º).
§ 1º - A renúncia ao mandato não exclui responsabilidade por danos eventualmente
causados ao cliente ou a terceiros.
§ 2º - O advogado não será responsabilizado por omissão do cliente quanto a documento ou informação que lhe devesse fornecer para a prática oportuna de ato processual do seu interesse."
xxxv,3,"Em certa comarca, em razão da insuficiência do número de defensores públicos em atuação, o Juiz Caio nomeou o advogado Pedro para defender um réu juridicamente necessitado. Quanto aos honorários a serem recebidos por Pedro, assinale a afirmativa correta.","Pedro apenas terá direito ao recebimento de honorários na hipótese de a parte contrária ser sucumbente, a serem pagos pelo autor.","Pedro tem direito a honorários fixados pelo juiz, independentemente de sucumbência, a serem pagos pelo Estado, segundo a tabela organizada pelo Conselho Seccional da OAB.","Pedro tem direito a honorários fixados pelo juiz, independentemente de sucumbência, a serem pagos pela Defensoria Pública, segundo a tabela organizada pelo Defensor Público Geral do Estado.","Pedro apenas terá direito ao recebimento de honorários na hipótese de a parte contrária ser sucumbente, a serem pagos pela Defensoria Pública.",B,"O advogado, quando indicado para patrocinar causa de juridicamente necessitado, fará jus aos honorários independentemente se a causa for ganha ou não, haja vista os valores estarem tabelados pelo Conselho Seccional da OAB, conforme o artigo 22, parágrafo 1º do Estatuto da OAB.
 
Art. 22. A prestação de serviço profissional assegura aos inscritos na OAB o direito aos honorários convencionados, aos fixados por arbitramento judicial e aos de sucumbência.
 § 1º - O advogado, quando indicado para patrocinar causa de juridicamente necessitado, no caso de impossibilidade da Defensoria Pública no local da prestação de serviço, tem direito aos honorários fixados pelo juiz, segundo tabela organizada pelo Conselho Seccional da OAB, e pagos pelo Estado.
§ 2º - Na falta de estipulação ou de acordo, os honorários são fixados por arbitramento judicial, em remuneração compatível com o trabalho e o valor econômico da questão, não podendo ser inferiores aos estabelecidos na tabela organizada pelo Conselho Seccional da OAB.
§ 2º - Na falta de estipulação ou de acordo, os honorários são fixados por arbitramento judicial, em remuneração compatível com o trabalho e o valor econômico da questão, observado obrigatoriamente o disposto nos §§ 2º, 3º, 4º, 5º, 6º, 6º-A, 8º, 8º-A, 9º e 10 do art. 85 da Lei nº 13.105, de 16 de março de 2015 (Código de Processo Civil).
§ 3º - Salvo estipulação em contrário, um terço dos honorários é devido no início do serviço, outro terço até a decisão de primeira instância e o restante no final.
§ 4º - Se o advogado fizer juntar aos autos o seu contrato de honorários antes de expedir-se o mandado de levantamento ou precatório, o juiz deve determinar que lhe sejam pagos diretamente, por dedução da quantia a ser recebida pelo constituinte, salvo se este provar que já os pagou.
§ 5º- O disposto neste artigo não se aplica quando se tratar de mandato outorgado por advogado para defesa em processo oriundo de ato ou omissão praticada no exercício da profissão.
§ 6º - O disposto neste artigo aplica-se aos honorários assistenciais, compreendidos como os fixados em ações coletivas propostas por entidades de classe em substituição processual, sem prejuízo aos honorários convencionais.
§ 7º - Os honorários convencionados com entidades de classe para atuação em substituição processual poderão prever a faculdade de indicar os beneficiários que, ao optarem por adquirir os direitos, assumirão as obrigações decorrentes do contrato originário a partir do momento em que este foi celebrado, sem a necessidade de mais formalidades.
§ 8º - Consideram-se também honorários convencionados aqueles decorrentes da indicação de cliente entre advogados ou sociedade de advogados, aplicada a regra prevista no § 9º do art. 15 desta Lei."
xxxv,4,"Antônio, economista sem formação jurídica, e Pedro, advogado, ambos estudiosos da Análise Econômica do Direito, desejam constituir sociedade de advogados que também fornecerá aos seus clientes serviços de consultoria na área econômica. Ao analisar a possibilidade de registro desse empreendimento, que consideram inovador, Antônio e Pedro concluíram, corretamente, que","poderá ser efetivado, já que é permitido o registro, nos cartórios de registro civil de pessoas jurídicas e nas juntas comerciais, de sociedade que inclua, entre outras finalidades, a atividade de advocacia.","não poderá ser efetivado, já que somente são admitidas a registro as sociedades de advogados que explorem ciências sociais complementares à advocacia.","poderá ser efetivado, desde que a razão social tenha o nome de, pelo menos, um advogado responsável pela sociedade","não poderá ser efetivado, já que não são admitidas a registro as sociedades de advogados que incluam como sócio pessoa não inscrita como advogado ou totalmente proibida de advogar.",D,"Art. 16.  Não são admitidas a registro nem podem funcionar todas as espécies de sociedades de advogados que apresentem forma ou características de sociedade empresária, que adotem denominação de fantasia, que realizem atividades estranhas à advocacia, que incluam como sócio ou titular de sociedade unipessoal de advocacia pessoa não inscrita como advogado ou totalmente proibida de advogar.
§ 1º - A razão social deve ter, obrigatoriamente, o nome de, pelo menos, um advogado responsável pela sociedade, podendo permanecer o de sócio falecido, desde que prevista tal possibilidade no ato constitutivo.
§ 2º - O impedimento ou a incompatibilidade em caráter temporário do advogado não o
exclui da sociedade de advogados à qual pertença e deve ser averbado no registro da sociedade, observado o disposto nos arts. 27, 28, 29 e 30 desta Lei e proibida, em qualquer hipótese, a exploração de seu nome e de sua imagem em favor da sociedade.
§ 3º - É proibido o registro, nos cartórios de registro civil de pessoas jurídicas e nas juntas comerciais, de sociedade que inclua, entre outras finalidades, a atividade de advocacia.
§ 4º - A denominação da sociedade unipessoal de advocacia deve ser obrigatoriamente formada pelo nome do seu titular, completo ou parcial, com a expressão ‘Sociedade Individual de Advocacia’."
xxxv,5,"João é estagiário de Direito. É vedado a João praticar isoladamente - isto é, sem atuar em conjunto com o advogado ou o defensor público que o supervisiona - o seguinte ato",assinar petições de juntada de documentos a processos judiciais.,obter junto aos escrivães e chefes de secretarias certidões de peças de processos em curso.,"comparecer à prática de atos extrajudiciais, sem autorização ou substabelecimento do advogado.","retirar e devolver autos em cartório, assinando a respectiva carga.",C,"A alternativa correta é, na prática, a transcrição do parágrafo segundo do artigo 29 do Regulamento Geral da OAB.
 
Art. 29. Os atos de advocacia, previstos no Art. 1º do Estatuto, podem ser subscritos por estagiário inscrito na OAB, em conjunto com o advogado ou o defensor público.
§ 1º - O estagiário inscrito na OAB pode praticar isoladamente os seguintes atos, sob a responsabilidade do advogado:
I - retirar e devolver autos em cartório, assinando a respectiva carga;
II - obter junto aos escrivães e chefes de secretarias certidões de peças ou autos de processos em curso ou findos;
III - assinar petições de juntada de documentos a processos judiciais ou administrativos.
§ 2º - Para o exercício de atos extrajudiciais, o estagiário pode comparecer isoladamente, quando receber autorização ou substabelecimento do advogado."
xxxv,6,"O advogado Cauã Silva foi presidente de certo Conselho Seccional da OAB, tendo seu mandato se encerrado há mais de uma década. Desde então, embora tenha permanecido como aguerrido defensor das prerrogativas e dos direitos dos advogados, Cauã não mais concorreu a nenhum cargo na OAB. Considerando a situação hipotética narrada, assinale a afirmativa correta.","Cauã, quando cessado seu mandato, deixou de integrar o Conselho Seccional da OAB.","Cauã permanece como membro honorário do Conselho Seccional da OAB, mas não tem direito de voto ou de voz nas sessões.","Cauã é ainda membro honorário do Conselho Seccional da OAB e o será de forma vitalícia, tendo, contudo, apenas direito de voz nas sessões.","Cauã permanece como membro honorário do Conselho Seccional da OAB, a quem são conferidos os direitos a voz e voto nas sessões do Conselho.",C,"Os ex-presidentes permanecem no Conselho, porém, somente com direito de voz nas sessões, o que pode ser observado pela leitura do artigo 56, parágrafo 1º, do Estatuto da Ordem dos Advogados.
 
Art. 56. O Conselho Seccional compõe-se de conselheiros em número proporcional ao de seus inscritos, segundo critérios estabelecidos no regulamento geral.
§ 1º - São membros honorários vitalícios os seus ex-presidentes, somente com direito a voz em suas sessões.
§ 2º - O Presidente do Instituto dos Advogados local é membro honorário, somente com direito a voz nas sessões do Conselho.
§ 3º - Quando presentes às sessões do Conselho Seccional, o Presidente do Conselho Federal, os Conselheiros Federais integrantes da respectiva delegação, o Presidente da Caixa de Assistência dos Advogados e os Presidentes das Subseções, têm direito a voz."
xxxv,7,"Antônio, brasileiro, formou-se em Direito em uma renomada Universidade de certo país da América do Sul. Lá, conheceu e casou-se com uma nacional daquele país, Ana, que também se formou em Direito na mencionada universidade. Já graduados, Ana e Antônio decidiram mudar-se para o Brasil, e exercer a advocacia em Minas Gerais, uma vez que se especializaram em determinado ramo do Direito em que há bastante similitude com o Direito do país de origem de Ana. Considerando o caso narrado, assinale a afirmativa correta.","É vedado a Ana o exercício da advocacia no Brasil, salvo, a título precatório, como consultora em Direito Internacional, se não cursar novamente a graduação no nosso país. Antônio, em via diversa, poderá inscrever-se como advogado desde que prove seu título de graduação, obtido na universidade estrangeira, que este seja revalidado e que seja aprovado no Exame de Ordem, cumpridos os demais requisitos legais.","Tanto Ana quanto Antônio poderão inscrever-se como advogados, desde que provem seus títulos de graduação, obtidos na universidade estrangeira, que estes sejam revalidados e que eles sejam aprovados no Exame de Ordem, cumpridos os demais requisitos legais.","É vedado a Ana o exercício da advocacia no Brasil, salvo, a título precatório, como consultora em Direito Internacional, se não cursar novamente a graduação no nosso país. Antônio poderá inscrever-se como advogado desde que prove seu título de graduação, obtido na universidade estrangeira, independentemente de revalidação, e que seja aprovado no Exame de Ordem, cumpridos os demais requisitos legais.","É vedado a Ana e a Antônio o exercício da advocacia no Brasil, salvo, a título precatório, como consultores no Direito estrangeiro, se não cursarem novamente a graduação no nosso país.",B,"O artigo 8º, parágrafo 2º, do Estatuto da Ordem determina que, em relação ao estrangeiro, este possui um requisito adicional, a revalidação, ou seja, deve fazer prova do título de graduação.
 
Art. 8º - Para inscrição como advogado é necessário:
I - capacidade civil;
II - diploma ou certidão de graduação em direito, obtido em instituição de ensino oficialmente autorizada e credenciada;
III - título de eleitor e quitação do serviço militar, se brasileiro;
IV - aprovação em Exame de Ordem;
V - não exercer atividade incompatível com a advocacia;
VI - idoneidade moral;
VII - prestar compromisso perante o conselho.
§ 1º O Exame da Ordem é regulamentado em provimento do Conselho Federal da OAB.
§ 2º O estrangeiro ou brasileiro, quando não graduado em direito no Brasil, deve fazer prova do título de graduação, obtido em instituição estrangeira, devidamente revalidado, além de atender aos demais requisitos previstos neste artigo.
§ 3º A inidoneidade moral, suscitada por qualquer pessoa, deve ser declarada mediante decisão que obtenha no mínimo dois terços dos votos de todos os membros do conselho competente, em procedimento que observe os termos do processo disciplinar.
§ 4º - Não atende ao requisito de idoneidade moral aquele que tiver sido condenado por crime infamante, salvo reabilitação judicial."
xxxv,8,"O estagiário de Direito Jefferson Santos, com o objetivo de divulgar a qualidade de seus serviços, realizou publicidade considerada irregular por meio da Internet, por resultar em captação de clientela, nos termos do Código de Ética e Disciplina da OAB. Quanto aos instrumentos admitidos no caso em análise, assinale a afirmativa correta.","É admitida a celebração de termo de ajustamento de conduta, tanto no âmbito dos Conselhos Seccionais quanto do Conselho Federal, para fazer cessar a publicidade irregular praticada.","Não é permitida a celebração de termo de ajustamento de conduta, tendo em vista tratar-se de estagiário.","É admitida a celebração de termo de ajustamento de conduta para fazer cessar a publicidade irregular praticada, que deverá seguir regulamentação constante em provimentos de cada Conselho Seccional, quanto aos seus requisitos e condições.","Não é permitida a celebração de termo de ajustamento de conduta, tendo em vista a natureza da infração resultante da publicidade irregular narrada.",A,"O artigo 47-A do Código de Ética da OAB determina que é admitida a celebração de termo de ajustamento de conduta, por estagiários e advogados, tanto no âmbito dos Conselhos Seccionais quanto do Conselho Federal, para fazer cessar a publicidade irregular praticada.
 
Art. 47-A. Será admitida a celebração de termo de ajustamento de conduta no âmbito dos
Conselhos Seccionais e do Conselho Federal para fazer cessar a publicidade irregular praticada por advogados e estagiários.
Parágrafo único. O termo previsto neste artigo será regulamentado mediante edição de provimento do Conselho Federal, que estabelecerá seus requisitos e condições."
xxxv,9,"A calamidade dos que não têm direitos não decorre do fato de terem sido privados da vida, da liberdade ou da procura da felicidade... Sua situação angustiante não resulta do fato de não serem iguais perante a lei, mas sim de não existirem mais leis para eles...
Hannah Arendt
A filósofa Hannah Arendt, em seu livro As Origens do Totalitarismo, aborda a trágica realidade daqueles que, com os eventos da II Guerra Mundial, perderam não apenas seu lar, mas a proteção do governo. Com isso, ficaram destituídos de seus direitos e, também, sem a
quem pudessem recorrer. Diante disso, Hannah Arendt afirma que, antes de todos os direitos fundamentais, há um primeiro direito a ser garantido pela própria humanidade. Assinale a opção que o apresenta.",O direito à liberdade de consciência e credo.,"O direito a ter direitos, isto é, de pertencer à humanidade.",O direito de resistência contra governos tiranos.,O direito à igualdade e de não ser oprimido.,B,"O ""status civilis"" referencia a ideia de que todo cidadão é passível de ter direitos. Sendo assim, o pertencimento a humanidade condiz a característica precípua de coletividade, pressupondo, com isso, o acesso ao espaço comum."
xxxv,10,"É possível que, diante de um caso concreto, seja aceitável a aplicação tanto de uma lei geral quanto de uma lei especial. Isso, segundo Norberto Bobbio, em seu livro Teoria do Ordenamento Jurídico, caracteriza uma situação de antinomia. Assinale a opção que, segundo o autor na obra em referência, apresenta a solução que deve ser adotada.","Deve ser feita uma ponderação de princípios entre a lei geral e a lei especial, de forma que a lei que se revelar menos razoável seja revogada.","Deve prevalecer a lei especial sobre a lei geral, de forma que a lei geral seja derrogada, isto é, caia parcialmente.","Deve ser verificada a data de edição de ambas as leis, pois, nesse tipo de conflito entre lei geral e lei especial, deve prevalecer aquela que for posterior.","Deve prevalecer a lei geral sobre a lei especial, pois essa prevalência da lei geral é um momento ineliminável de desenvolvimento de um ordenamento jurídico.",B,"A lei especial deve prevalecer sobre a lei geral por representar um momento ineliminável do desenvolvimento de um ordenamento. Criar obstáculo à lei especial ante a lei geral significaria refrear esse desenvolvimento. Não existe entre os homens um único ordenamento, mas existem muitos e diversos tipos. Os vários ordenamentos têm relação entre si e de que tipo são essas relações? O problema fundamental que aqui deverá ser examinado é o do reenvio de um ordenamento ao outro."
